id,title,content
1,BREAKING: ELECTION RESULTS 2024!!,"The election results are finally here... and its a SHOCKER! 😲 #Elections2024 https://news.com/results. Polls closed at 8PM."
2,Tech GIANTS release NEW AI models,"Google and OpenAI have released new models (GPT-5??).  Prices are starting at $20/month. Visit www.ai-news.tech for more info!"
3,Stock Market CRASH??,"The DOW dropped 500 points today!!! panicked investors are selling off... Is a recession coming? 📉 #finance #wallstreet"
4,Sports: Local Team WINS!!!,"The Tigers defeated the Lions 3-2 in a thrilling match at 7:00 PM yesterday. FANS WENT WILD!!"
5,New iPhone 16 leaks...,"Rumors say the new iPhone will have a holographic display. Can you believe it? Check out the leaks @ tech_insider."
6,Climate Change Summit 2024,"World leaders gather in Paris to discuss global warming... Co2 levels are rising fast. output is critical."
7,"ECONOMY: Inflation rises to 4.5%","Prices of milk and bread are SKYROCKETING. Families are struggling to cope. @govt please help."
8,Recipe for the BEST chocolate cake,"Mix 2 cups of flower, 1 cup of sugar, and cocoa powder. Bake at 350F for 30 mins. It's yummy!!! 🍰"
9,Bitcoin hits $100k!!!!,"Crypto is back baby! BTC just crossed the 100k mark. To the moon! 🚀🚀 #crypto #bitcoin"
10,Review: The worst movie ever?,"I just watched 'The Lost City' and it was teeeeeerrible.  0/10 stars. Do not watch."
11,Startups raising milllions,"A new startup in Silicon Valley just raised $50M in seed funding. Tech bubble 2.0?"
12,Travel guide: Paris on a budget,"Visit the Eiffel Tower for only €25. Eat at local cafes. #travel #paris #france"
13,HEALTH ALERT: New Virus Variant,"Doctors warn of a new flu variant spreading rapidly. Symptoms include fever and cough. Wash your hands!!"
14,Celebrity scandal revealed!,"You won't believe what [Actress Name] did at the gala last night. Click here for photos: http://gossip.net/scandal"
15,Coding tutorial: Python for beginners,"Learn Python in 10 minutes. Print(""Hello World""). It's easy... or is it?"
16,Football match delayed by rain,"The match between Man Utd and Chelsea was delayed due to heavy rain. Rescheduled for tomorrow @ 2PM."
17,50% OFF SALE at the mall!!!,"Everything must go! Get huge discounts on clothes and electronics. Hurry up before it's gone."
18,Politics: Sen. Smith proposes new bill,"The new bill aims to reduce taxes for small businesses by 10%. Critics say it's not enough."
19,SpaceX launches new rocket,"Falcon 9 successfully landed on the drone ship. ELON MUSK tweet: ""Mars here we come""."
20,Weather forecast: Snow storm coming,"Prepare for 10-12 inches of snow this weekend. Schools might be closed. #weather #snowstorm"
